Node,Value
Elian Powell,0.017825419119179595
Vihaan Barnes,0.0
Kaia Martin,0.022062643401445706
Adonis Morgan,0.0
Brooks Hall,0.019444612556269312
Dominic Davis,2.478192511094911e-05
Ivy Anderson,0.002461152494720994
Kash Richardson,0.00016696607070825829
Atticus Wilson,0.008542988726162002
Arden Flores,0.05565552027192011
Rebecca Hall,0.0
Adrian Gomez,0.0584175832556174
Jonathan Martinez,0.0
Hannah Morris,0.03292100949070659
Arya Perez,0.0
Silas Jackson,0.0
Eliza Smith,0.049478387144284486
Remy Fisher,9.761158527049373e-05
Caroline Anderson,0.0052585072216606256
Rebecca Foster,0.0
Joel Brown,0.005508490792625683
Luke Young,0.0
Oliver Thomas,0.08127165857209395
Mira Sanders,0.0
Jasper Bennett,0.0157801768476358
Dylan Hernandez,0.0
Christian Moore,0.09663981373851592
Delilah Parker,0.0
Morgan James,0.0
Kayla Perry,0.07404086612673175
Jesse Garcia,0.0
Ayesha Perez,0.010735444220607324
Flynn Wilson,3.4766104237058464e-05
Arden Baker,0.00015901647599222065
Nathaniel Wilson,0.0
Skyler Bennett,0.0337402084288309
Lyra Wilson,5.583080044618385e-06
Axel Diaz,0.06714527207881613
Kennedy Hughes,0.0
George Garcia,0.07920555004678004
Sienna Miller,0.0
Julia Garcia,0.005606189693298874
Rohan Hill,0.0
Skyler Mitchell,0.056255542811455464
Bennett Cox,0.00017459748523577191
Yara Gomez,0.003500996859642536
Joseph Campbell,0.013070459060547648
Arthur Bennett,0.0005472724867557858
Quinn Thomas,0.0
Finley Cox,0.05146837061748188
Inayah Martin,0.0
Hudson Young,0.0
Layla Thompson,0.0025715064481025658
Raiden Ramirez,2.1915927876656785e-05
Millie Gonzalez,0.07433629285837973
Dominic Richardson,0.0
Lilith Scott,0.00020503963189572058
Daniel Perry,0.0
Dominic Jones,0.049676147274242875
Iris Nelson,9.702986830652265e-05
Lydia Ward,0.0008666998927444876
Roman Moore,0.022212354830567552
Sean Parker,0.0
Rae Robinson,0.0
Oscar Bennett,0.0
Audrey Morgan,0.006519278323532185
Mae Diaz,0.0
Rayna Smith,0.003851940918478479
Skyler Brooks,0.0
Rory Bell,0.01691116573958972
Archie Jackson,0.0
Austin Cruz,0.0001375104011596915
Vivian Perez,0.0
Abel Jones,3.834556666962274e-05
Olivia Flores,0.011666630408645495
