Node,Value
Elian Powell,0.3788995851921421
Vihaan Barnes,0.2747871495061869
Kaia Martin,0.3838505573968063
Adonis Morgan,0.2773817981802764
Brooks Hall,0.34562225141355873
Dominic Davis,0.2634150588184084
Ivy Anderson,0.35888388091566836
Kash Richardson,0.30155724430048586
Atticus Wilson,0.37198795180722893
Arden Flores,0.3444664228486858
Rebecca Hall,0.2562132181718108
Adrian Gomez,0.34095839084993096
Jonathan Martinez,0.25426737675815925
Hannah Morris,0.3430652796281074
Arya Perez,0.25543724871521584
Silas Jackson,0.25426737675815925
Eliza Smith,0.3424052960647297
Remy Fisher,0.2590899846939322
Caroline Anderson,0.36499894447962844
Rebecca Foster,0.2674016548280547
Joel Brown,0.35917143959402914
Luke Young,0.26426052686164697
Oliver Thomas,0.345563042485153
Mira Sanders,0.2568194115837162
Jasper Bennett,0.3658650866824867
Dylan Hernandez,0.2678662328751964
Christian Moore,0.39237490071485304
Delilah Parker,0.28180590481512524
Morgan James,0.28180590481512524
Kayla Perry,0.3528982971775134
Jesse Garcia,0.2608489498582928
Ayesha Perez,0.3660753444338581
Flynn Wilson,0.2703070910106086
Arden Baker,0.29337405616357004
Nathaniel Wilson,0.25426737675815925
Skyler Bennett,0.36020833333333335
Lyra Wilson,0.28947966371279255
Axel Diaz,0.35629544584768463
Kennedy Hughes,0.26270036790640633
George Garcia,0.3627617006609019
Sienna Miller,0.26619891787269606
Julia Garcia,0.3512086126345724
Rohan Hill,0.2599246190685838
Skyler Mitchell,0.3415453211423411
Bennett Cox,0.26673866090712745
Yara Gomez,0.35123409318455534
Joseph Campbell,0.3769230769230769
Arthur Bennett,0.29896869017476685
Quinn Thomas,0.26270036790640633
Finley Cox,0.3392762032910044
Inayah Martin,0.25333068204414394
Hudson Young,0.26482139926699855
Layla Thompson,0.34063691757785564
Raiden Ramirez,0.2594398773860945
Millie Gonzalez,0.3598174601994857
Dominic Richardson,0.2646100701808085
Lilith Scott,0.2897915693950604
Daniel Perry,0.2568194115837162
Dominic Jones,0.34084316652116364
Iris Nelson,0.26103460547174084
Lydia Ward,0.2888302886393738
Roman Moore,0.37312328513734316
Sean Parker,0.27173632393717934
Rae Robinson,0.25420329122165863
Oscar Bennett,0.2550711809397359
Audrey Morgan,0.3488650284643655
Mae Diaz,0.25863874345549737
Rayna Smith,0.3628541448058762
Skyler Brooks,0.26624869383490074
Rory Bell,0.3540493498515409
Archie Jackson,0.2716753274447525
Austin Cruz,0.29367303609341827
Vivian Perez,0.2550711809397359
Abel Jones,0.266222339536316
Olivia Flores,0.3392001345253777
Lilah Hill,0.25328826896313583
Emilia James,0.30775685606397724
Naomi Ramirez,0.35799219119734976
Finn Cox,0.26362161161390096
Faye Lee,0.26619891787269606
William Jenkins,0.26270036790640633
Kevin Phillips,0.2707575977897339
Penelope Bennett,0.25420329122165863
Jasper Cruz,0.2550711809397359
Savannah Thompson,0.26362161161390096
Skylar Taylor,0.33649354982206403
Anna Ward,0.25177603727858044
Rome Jones,0.3459087141673097
Nicholas Scott,0.25701028848093604
Charlotte Watson,0.26482139926699855
Cillian Carter,0.37063804376119674
Sadie Hernandez,0.28865118830417724
Quinn Jenkins,0.3930502557440935
Milo Martin,0.28215409721412754
Claudia Roberts,0.35255906085234057
Connor Long,0.2728697200960444
Lauren Mitchell,0.25328826896313583
Deborah Bailey,0.2550711809397359
Tristan White,0.3714228721363797
Luke Wilson,0.2806525293046876
Ronan Green,0.26270036790640633
Vanessa Richardson,0.27173632393717934
Lachlan Reed,0.3380962357706544
Owen King,0.2526722338204593
Piper Wood,0.3510303522485027
Brielle Allen,0.30032258064516126
Elliot Gutierrez,0.35512455620433675
Robin Cruz,0.27380184826993337
Bailey Gonzalez,0.25420329122165863
Sienna White,0.2608489498582928
Jasper Johnson,0.2608489498582928
Mara Fisher,0.3471987148225709
Jedidiah Cook,0.2577217507958647
Deborah Davis,0.2568194115837162
Lennox Watson,0.26270036790640633
Sadie Morales,0.349353423392218
Seraphina Brown,0.2589070839528093
Carter Ward,0.2771785182640559
Peter Gutierrez,0.2562132181718108
Stella Davis,0.3637265214124718
Lydia Lee,0.2667180871577324
Madeline Thompson,0.33761053306926275
Blake James,0.25240086337236584
Savannah Sullivan,0.25177603727858044
Wyatt Barnes,0.3636554842780524
Seraphina Watson,0.29677672474038475
Lennox Wright,0.2589070839528093
Amira Reyes,0.3415838789794536
Emmett Evans,0.3041298639293387
Ariana Cook,0.25426737675815925
Jessica Cooper,0.35860209478378097
Elijah Flores,0.2639521950581205
Hadassah Ross,0.3152561798338152
Victoria Nelson,0.2616440577203697
River Roberts,0.2707152043840519
Alexis Lewis,0.2562132181718108
Daphne Bell,0.2589070839528093
Xander Sanchez,0.27275288178755336
Emily Davis,0.35347030563221915
John Sanchez,0.26116134043976436
Charlotte Ortiz,0.340335189246949
Adeline Wright,0.2727190788435972
Ezra Lee,0.3973081657775954
Harlow Robinson,0.3432988228620054
Muhammad Baker,0.28215409721412754
