Node,Value
Elian Powell,2.639221680575064
Vihaan Barnes,3.639180368503677
Kaia Martin,2.6051805337519625
Adonis Morgan,3.605139221680575
Brooks Hall,2.8933322316780963
Dominic Davis,3.7962901759894243
Ivy Anderson,2.7864165909278693
Kash Richardson,3.3161199702553086
Atticus Wilson,2.688259109311741
Arden Flores,2.9030405684541023
Rebecca Hall,3.902999256382715
Adrian Gomez,2.932909196067091
Jonathan Martinez,3.9328678839957036
Hannah Morris,2.9148971329422455
Arya Perez,3.9148558208708586
Silas Jackson,3.9328678839957036
Eliza Smith,2.920515574650913
Remy Fisher,3.85966289349748
Caroline Anderson,2.7397339502602662
Rebecca Foster,3.739692638188879
Joel Brown,2.784185739072957
Luke Young,3.78414442700157
Oliver Thomas,2.8938279765347437
Mira Sanders,3.8937866644633563
Jasper Bennett,2.7332479550524664
Dylan Hernandez,3.733206642981079
Christian Moore,2.548582995951417
Delilah Parker,3.5485416838800297
Morgan James,3.5485416838800297
Kayla Perry,2.833677600594894
Jesse Garcia,3.8336362885235067
Ayesha Perez,2.7316780963397505
Flynn Wilson,3.6994959927290756
Arden Baker,3.4086176980913825
Nathaniel Wilson,3.9328678839957036
Skyler Bennett,2.776171197223829
Lyra Wilson,3.4544740973312402
Axel Diaz,2.8066595059076263
Kennedy Hughes,3.806618193836239
George Garcia,2.7566305874576553
Sienna Miller,3.756589275386268
Julia Garcia,2.8473105841526896
Rohan Hill,3.847269272081302
Skyler Mitchell,2.927869123357845
Bennett Cox,3.748987854251012
Yara Gomez,2.8471040237957532
Joseph Campbell,2.6530612244897958
Arthur Bennett,3.344831859869454
Quinn Thomas,3.806618193836239
Finley Cox,2.947451045195406
Inayah Martin,3.9474097331240188
Hudson Young,3.7761298851524416
Layla Thompson,2.935677104850037
Raiden Ramirez,3.8544575725026853
Millie Gonzalez,2.779186978435099
Dominic Richardson,3.7791456663637115
Lilith Scott,3.450756010906387
Daniel Perry,3.8937866644633563
Dominic Jones,2.933900685780385
Iris Nelson,3.8309096918119474
Lydia Ward,3.462240766752045
Roman Moore,2.6800793191770635
Sean Parker,3.680038007105676
Rae Robinson,3.933859373708998
Oscar Bennett,3.9204742625795257
Audrey Morgan,2.8664380732049906
Mae Diaz,3.866396761133603
Rayna Smith,2.7559282822440716
Skyler Brooks,3.7558869701726842
Rory Bell,2.824465008675535
Archie Jackson,3.6808642485334215
Austin Cruz,3.4051474840948526
Vivian Perez,3.9204742625795257
Abel Jones,3.75625877881517
Olivia Flores,2.948112038337602
Lilah Hill,3.948070726266215
Emilia James,3.24931835082211
Naomi Ramirez,2.7933570189209287
Finn Cox,3.7933157068495413
Faye Lee,3.756589275386268
William Jenkins,3.806618193836239
Kevin Phillips,3.6933404940923737
Penelope Bennett,3.933859373708998
Jasper Cruz,3.9204742625795257
Savannah Thompson,3.7933157068495413
Skylar Taylor,2.971825167313889
Anna Ward,3.971783855242502
Rome Jones,2.8909361315376354
Nicholas Scott,3.890894819466248
Charlotte Watson,3.7761298851524416
Cillian Carter,2.6980500702305212
Sadie Hernandez,3.4643889944641826
Quinn Jenkins,2.5442039163843675
Milo Martin,3.54416260431298
Claudia Roberts,2.836404197306453
Connor Long,3.6647525406923904
Lauren Mitchell,3.948070726266215
Deborah Bailey,3.9204742625795257
Tristan White,2.6923490043790794
Luke Wilson,3.563124845079732
Ronan Green,3.806618193836239
Vanessa Richardson,3.680038007105676
Lachlan Reed,2.957737750970834
Owen King,3.9576964388994464
Piper Wood,2.8487565066512435
Brielle Allen,3.329752953813104
Elliot Gutierrez,2.8159134098983722
Robin Cruz,3.652276295133438
Bailey Gonzalez,3.933859373708998
Sienna White,3.8336362885235067
Jasper Johnson,3.8336362885235067
Mara Fisher,2.8801949929769477
Jedidiah Cook,3.880153680905561
Deborah Davis,3.8937866644633563
Lennox Watson,3.806618193836239
Sadie Morales,2.8624308022804263
Seraphina Brown,3.862389490209039
Carter Ward,3.6077831942493597
Peter Gutierrez,3.902999256382715
Stella Davis,2.74931835082211
Lydia Lee,3.749277038750723
Madeline Thompson,2.9619928943237213
Blake James,3.9619515822523343
Savannah Sullivan,3.971783855242502
Wyatt Barnes,2.7498554077501445
Seraphina Watson,3.369536478559035
Lennox Wright,3.862389490209039
Amira Reyes,2.927538626786747
Emmett Evans,3.2880690737833596
Ariana Cook,3.9328678839957036
Jessica Cooper,2.788606130711394
Elijah Flores,3.7885648186400065
Hadassah Ross,3.1720234652565478
Victoria Nelson,3.8219862843922994
River Roberts,3.6939188630917954
Alexis Lewis,3.902999256382715
Daphne Bell,3.862389490209039
Xander Sanchez,3.666322399405106
Emily Davis,2.829091960670908
John Sanchez,3.829050648599521
Charlotte Ortiz,2.9382797653474344
Adeline Wright,3.666776832190366
Ezra Lee,2.5169379492687765
Harlow Robinson,2.9129141535156573
Muhammad Baker,3.54416260431298
Apollo Bailey,3.8411137734446004
Isha Sullivan,2.8525572172188713
Ari Smith,3.852515905147484
Damien Hughes,3.866396761133603
Salem Ross,2.7920763447079238
Jedidiah Cruz,3.5784516235644057
Eden Walker,3.781087333718913
Teagan Long,3.733206642981079
Amir Hernandez,2.701355035941502
Alice Rodriguez,3.883252086259605
Rhea Ramirez,3.8937866644633563
Blake Fisher,3.9474097331240188
Naya Thomas,3.9576964388994464
Athena Gomez,3.3125671321160044
Siobhan Wilson,3.9278278112864577
Kevin Clark,3.806618193836239
Emilia King,2.751714450962571
Thomas Campbell,3.751673138891184
Olivia Williams,3.701313723870115
Elijah Gomez,2.7441543418987027
Gavin Bell,3.7441130298273158
Talia Wright,2.8632157316367843
Matilda Powell,3.4223333057919523
Taylor Hill,2.8627612988515243
Judah Parker,3.480418078162439
Tara Moore,3.902999256382715
Adriel Reed,2.9866975130133024
Siobhan Wright,3.986656200941915
Christopher Hernandez,3.749814095678757
David Perry,3.632322564653392
Carter Edwards,3.756589275386268
Faye Gonzalez,3.9328678839957036
Simon Martin,3.652730727918698
Calvin Martin,2.9353879203503266
Bennett Scott,3.9353466082789392
Lilah Phillips,3.9278278112864577
me,1.9958274807898868
Jamie Parker,3.7920350326365364
Jude Cooper,3.8336362885235067
Sloane Hernandez,2.6493431380649426
Matilda Russell,3.91287284144427
Wesley Perez,2.8567297364289845
Nia Richardson,3.783400809716599
Lauren Wright,3.862389490209039
Kit Sanchez,3.9204742625795257
Sloane Murphy,3.78414442700157
Elio Collins,3.715029331570685
Daphne Young,3.7791456663637115
Evangeline Russell,2.5464347682392794
Sara Morris,3.5463934561678925
Dean Fisher,3.3165330909691813
Francis King,3.8937866644633563
Ruby Morales,3.756589275386268
Nathan Carter,2.7750144592249857
Ira Turner,3.7749731471535983
Sophie Evans,3.8336362885235067
Kayla Miller,3.5630009088655705
Jean Adams,3.902999256382715
Jade Cooper,3.9278278112864577
Jamie Powell,3.6923076923076925
Justin Nguyen,3.8336362885235067
Ezra Carter,3.848715194579856
Sofia Hall,3.780632900933653
Natasha Torres,3.5485416838800297
Justin Sullivan,3.7933157068495413
Ali Garcia,2.8237627034619517
Rowan Wood,3.8237213913905643
Elio Bell,3.6844170866727257
James Nelson,3.933859373708998
Zion Hall,2.7788151697926136
Ethan Russell,3.3819714120466
Owen Murphy,3.8336362885235067
Sierra Rivera,3.890894819466248
Parker Hughes,3.856688424357597
Joel Wright,3.829050648599521
Noa Gutierrez,3.61245145831612
Finn Howard,3.9328678839957036
Clara Watson,3.5485416838800297
Isabelle Hughes,3.7933157068495413
Carter Gray,3.938238453276047
Arden Bailey,3.893290919606709
Ali Bailey,3.7761298851524416
Elio Nguyen,3.8336362885235067
Avyaan Phillips,3.938238453276047
Alexander Adams,3.829050648599521
Milo Morgan,3.933859373708998
Ariana Flores,3.9278278112864577
Nevaeh Williams,3.890894819466248
Keira Peterson,3.7791456663637115
Rich Russell,3.902999256382715
Hazel Price,3.9474097331240188
Rae Foster,3.749277038750723
Sawyer Peterson,3.9619515822523343
Vera Rogers,2.7960423035611006
Caleb Ortiz,3.5298686276129887
Sawyer Fisher,3.8363628852350655
Yara Bell,3.7161860695695283
Emily Flores,3.5463934561678925
Maverick Russell,3.482483681731802
Lilah Davis,3.890894819466248
Natalie Walker,3.8024043625547383
Zane Russell,3.563372717508056
Charles Taylor,3.8937866644633563
Harrison Gutierrez,3.8244236966041476
Anthony Wilson,3.756589275386268
Zane Evans,3.652441543418987
Daisy Wilson,3.806618193836239
Rohan Foster,3.9278278112864577
Ophelia Lee,3.91287284144427
Delilah Hill,2.917004048582996
Zane King,3.916962736511609
Silas Nelson,3.8336362885235067
Lisa Robinson,3.8937866644633563
Sofia Morales,3.6141865653143848
Elora Ortiz,3.862389490209039
Delilah Howard,3.9474097331240188
Myles Young,3.863174419565397
Lily Nguyen,3.9328678839957036
Celeste Fisher,3.7441130298273158
Gia Price,3.971783855242502
Gemma Robinson,3.698008758159134
Callum Clark,3.5173097579112618
Remi Reyes,3.7761298851524416
Ethan Cox,2.91497975708502
Seraphina Cruz,3.914938445013633
Ian Stewart,3.6923076923076925
Parker Walker,3.9148558208708586
Arthur Phillips,3.986656200941915
Max Sullivan,3.6965215235891926
Hunter Wilson,3.9328678839957036
Ali Brown,3.772163926299265
Adam Carter,3.9353466082789392
Claire Wright,3.902999256382715
Evie Morales,2.863504916136495
William Nguyen,3.863463604065108
Fiona Lewis,3.70771709493514
Seraphina Bell,3.751673138891184
Ronan Hall,3.7230438734198135
Cassius Ortiz,3.274436090225564
Ryker Peterson,3.8937866644633563
Teagan Roberts,3.862389490209039
Rayne Lewis,3.7761298851524416
Bryan Scott,3.986656200941915
Dante James,3.9278278112864577
Matthew Hernandez,3.829050648599521
Aubrey Moore,3.5728744939271255
George Russell,2.840080971659919
Hayden Butler,3.880153680905561
Beau White,3.6117491531025365
Lydia Long,2.749483599107659
Anaya Lee,3.5715938197141206
Emery Hernandez,3.5008675534991323
Ariana Walker,3.8937866644633563
Harlow Bell,3.3907708832520864
Edward Torres,3.9278278112864577
Kayden Carter,3.605139221680575
Carter Carter,3.880153680905561
Alexander Sanchez,3.331942493596629
Aiden Martin,3.6882177972403536
Arden Peterson,3.6148888705279685
Hazel Hall,3.51507890605635
Lana Russell,3.8937866644633563
Calvin Hill,3.938238453276047
Archer Taylor,3.890894819466248
Amy Kelly,3.9328678839957036
Mira Bailey,3.55019416673552
Robin Foster,3.4536065438321075
Mackenzie Stewart,3.902999256382715
Myra Price,3.806618193836239
Scarlett Lopez,3.8937866644633563
Eric Thompson,3.9353466082789392
Athena Green,3.756589275386268
Kian Walker,3.42795174750062
